host_since;host_response_time;host_response_rate;host_acceptance_rate;host_is_superhost;host_listings_count;host_identity_verified;neighbourhood_cleansed;property_type;room_type;accommodates;bedrooms;beds;minimum_nights;maximum_nights;number_of_reviews;review_scores_rating;instant_bookable
15/03/2012;3;87.640014;81.277545;f;1;f;Upper_West_Side;Private_room_in_apartment;Private_room;3;1;2;30;1125;1;100;t
01/12/2014;3;87.640014;0;f;1;t;East_Village;Entire_apartment;Entire_home-apt;2;1;1;30;1125;2;60;f
08/08/2016;0;40;25;f;1;t;Brooklyn_Heights;Entire_apartment;Entire_home-apt;6;3;3;30;1125;4;100;f
23/07/2014;3;87.640014;81.277545;f;1;t;Harlem;Private_room_in_apartment;Private_room;2;1;1;30;1125;0;93.812903;t
20/07/2011;3;87.640014;81.277545;f;1;t;Greenpoint;Entire_apartment;Entire_home-apt;2;1;1;30;30;0;93.812903;f
03/02/2012;3;87.640014;81.277545;f;1;t;West_Village;Entire_apartment;Entire_home-apt;4;2;4;30;1125;1;100;f
19/02/2012;0;29;20;f;1;t;Williamsburg;Entire_apartment;Entire_home-apt;2;1;1;30;30;20;100;f
08/08/2015;3;100;100;t;3;t;East_Harlem;Entire_apartment;Entire_home-apt;2;1;1;30;365;28;95;t
25/10/2014;3;87.640014;100;t;1;t;Chelsea;Entire_apartment;Entire_home-apt;2;1;1;3;360;56;96;f
20/07/2017;1;100;100;f;1;t;Chelsea;Entire_apartment;Entire_home-apt;2;1;1;30;1125;14;100;f
10/05/2014;3;87.640014;81.277545;f;1;t;Williamsburg;Private_room_in_apartment;Private_room;2;1;1;30;100;9;93;t
27/04/2015;1;50;0;f;1;t;Bedford-Stuyvesant;Private_room_in_apartment;Private_room;2;1;1;30;1125;1;100;f
22/05/2016;3;100;100;f;1;f;Chelsea;Entire_apartment;Entire_home-apt;2;1;1;30;1125;120;88;t
02/12/2013;3;87.640014;81.277545;f;1;t;Washington_Heights;Private_room_in_apartment;Private_room;2;1;1;30;1125;1;93.812903;t
22/07/2017;1;100;81.277545;f;1;t;Little_Italy;Entire_apartment;Entire_home-apt;4;1;1;30;31;3;100;t
07/12/2017;2;100;86;f;2;f;Harlem;Entire_condominium;Entire_home-apt;6;2;6;30;365;59;93;t
03/03/2016;3;100;90;f;125;f;Murray_Hill;Entire_condominium;Entire_home-apt;3;2;2;30;1125;0;93.812903;f
09/04/2013;3;100;57;f;5;t;Borough_Park;Private_room_in_apartment;Private_room;2;1;1;30;1125;29;93;f
21/07/2014;3;87.640014;81.277545;f;1;t;Williamsburg;Entire_apartment;Entire_home-apt;4;2;2;30;1125;0;93.812903;f
16/04/2014;3;87.640014;81.277545;t;2;t;Bushwick;Entire_loft;Entire_home-apt;5;2;2;30;1125;14;99;f
20/01/2015;3;100;98;t;1;t;Elmhurst;Entire_apartment;Entire_home-apt;3;1;2;30;1125;115;95;f
21/02/2015;3;87.640014;81.277545;f;1;t;Boerum_Hill;Entire_condominium;Entire_home-apt;4;1;2;30;1125;0;93.812903;f
07/12/2017;3;87.640014;81.277545;f;1;f;Forest_Hills;Shared_room_in_apartment;Shared_room;1;1;1;60;75;1;20;t
09/04/2013;3;100;57;f;5;t;Borough_Park;Private_room_in_apartment;Private_room;2;1;1;30;1125;33;97;f
11/01/2011;3;87.640014;0;f;1;f;Upper_East_Side;Entire_apartment;Entire_home-apt;4;2;3;30;1125;8;100;f
01/10/2015;1;100;81.277545;f;3;t;Mott_Haven;Entire_apartment;Entire_home-apt;2;1;1;30;1125;47;93;t
14/11/2013;3;87.640014;81.277545;f;1;t;Ridgewood;Private_room_in_apartment;Private_room;2;1;1;30;1125;2;100;f
07/12/2017;2;90;100;t;1;f;East_Flatbush;Entire_apartment;Entire_home-apt;4;2;3;4;180;91;98;f
27/08/2013;3;87.640014;81.277545;f;1;t;Chelsea;Entire_apartment;Entire_home-apt;4;2;2;30;1125;10;100;f
22/04/2014;3;87.640014;100;f;2;t;Gramercy;Private_room_in_apartment;Private_room;1;1;1;30;60;4;100;t
08/12/2017;1;70;54;t;1;t;Flatbush;Entire_apartment;Entire_home-apt;4;1;1;30;1125;47;96;f
10/09/2016;3;87.640014;100;f;0;t;Astoria;Private_room_in_apartment;Private_room;1;1;1;30;60;19;99;t
24/06/2014;3;87.640014;0;f;1;f;East_Village;Private_room_in_apartment;Private_room;1;1;1;30;180;8;100;f
12/06/2014;3;87.640014;81.277545;f;1;t;Williamsburg;Entire_apartment;Entire_home-apt;3;1;1;30;1125;1;93.812903;f
08/12/2017;3;100;100;t;1;t;Upper_West_Side;Entire_condominium;Entire_home-apt;2;1;1;3;100;53;95;f
15/03/2012;2;100;100;f;0;t;Greenpoint;Entire_apartment;Entire_home-apt;6;2;2;30;1125;2;100;f
23/04/2017;3;87.640014;81.277545;f;1;t;Midtown;Entire_apartment;Entire_home-apt;3;1;1;30;1125;5;96;f
14/11/2012;3;87.640014;81.277545;f;2;t;Williamsburg;Private_room_in_apartment;Private_room;1;1;1;30;1125;1;93.812903;f
19/02/2016;3;87.640014;100;t;1;t;Harlem;Private_room_in_apartment;Private_room;2;1;1;30;30;24;98;f
06/12/2017;2;100;95;f;2;f;East_Harlem;Entire_condominium;Entire_home-apt;5;2;2;30;365;42;90;f
21/01/2015;3;87.640014;50;f;1;t;Williamsburg;Entire_apartment;Entire_home-apt;3;1;1;4;1125;5;100;f
15/07/2012;3;87.640014;100;f;1;f;Upper_East_Side;Entire_apartment;Entire_home-apt;4;2;2;151;151;4;100;f
23/06/2014;3;87.640014;100;f;0;t;Murray_Hill;Entire_apartment;Entire_home-apt;3;1;1;30;1125;3;100;t
30/10/2010;3;87.640014;81.277545;f;1;t;Flatiron_District;Entire_apartment;Entire_home-apt;5;1;3;30;60;2;100;t
03/12/2017;3;87.640014;81.277545;f;4;f;Greenpoint;Shared_room_in_loft;Shared_room;1;1;1;30;90;11;93;t
25/02/2016;3;87.640014;81.277545;f;1;f;Sheepshead_Bay;Private_room_in_apartment;Private_room;2;1;2;30;30;0;93.812903;f
14/04/2017;3;87.640014;100;t;2;t;East_Flatbush;Entire_house;Entire_home-apt;4;2;3;6;1125;80;100;t
18/04/2017;3;100;98;f;3;t;Harlem;Private_room_in_apartment;Private_room;3;1;1;1;1125;162;96;t
29/09/2017;3;100;89;t;3;t;Midtown;Entire_apartment;Entire_home-apt;3;3;2;31;1125;8;98;f
15/07/2016;3;100;100;f;1;t;Midtown;Entire_apartment;Entire_home-apt;2;1;1;4;31;58;86;t
29/03/2017;3;100;100;f;1;f;Astoria;Entire_apartment;Entire_home-apt;6;3;3;30;1125;117;96;t
18/08/2012;3;87.640014;81.277545;f;1;t;Greenpoint;Private_room_in_apartment;Private_room;2;1;1;30;1125;3;100;f
